Risk_ID,Equipment_ID,Score_Date,Breakdown_Probability,Risk_Category
RSK-600479,EQ-1050,2023-07-29,0.4849,Medium
RSK-600480,EQ-1105,2023-01-20,0.3495,Medium
RSK-600481,EQ-1133,2023-01-05,0.6185,High
RSK-600482,EQ-1136,2024-04-15,0.8678,Critical
RSK-600483,EQ-1130,2023-08-09,0.4192,Medium
RSK-600484,EQ-1085,2024-02-24,0.25,Medium
RSK-600485,EQ-1107,2023-05-19,0.2152,Low
RSK-600486,EQ-1013,2023-09-10,0.9366,Critical
RSK-600487,EQ-1119,2023-12-06,0.907,Critical
RSK-600488,EQ-1047,2023-10-07,0.6925,High
RSK-600489,EQ-1057,2023-10-18,0.5769,High
RSK-600490,EQ-1136,2024-05-07,0.7599,High
RSK-600491,EQ-1147,2023-06-20,0.4588,Medium
RSK-600492,EQ-1114,2023-12-31,0.6216,High
RSK-600493,EQ-1006,2023-05-28,0.7756,High
RSK-600494,EQ-1086,2024-02-24,0.7071,High
RSK-600495,EQ-1137,2024-03-27,0.4871,Medium
RSK-600496,EQ-1079,2023-11-04,0.5125,Medium
RSK-600497,EQ-1010,2023-02-01,0.8671,Critical
RSK-600498,EQ-1076,2023-03-13,0.5299,Medium
RSK-600499,EQ-1111,2023-11-29,0.0596,Low
RSK-600500,EQ-1089,2023-06-29,0.25,Medium
RSK-600501,EQ-1130,2023-10-04,0.5787,High
RSK-600502,EQ-1094,2023-12-02,0.0313,Low
RSK-600503,EQ-1025,2023-09-30,0.6106,High
RSK-600504,EQ-1135,2024-04-02,0.3329,Medium
RSK-600505,EQ-1011,2024-03-05,0.4258,Medium
RSK-600506,EQ-1090,2023-03-21,0.8637,Critical
RSK-600507,EQ-1146,2024-04-10,0.869,Critical
RSK-600508,EQ-1114,2023-04-24,0.25,Medium
RSK-600509,EQ-1114,2024-01-19,0.9556,Critical
RSK-600510,EQ-1028,2023-01-25,0.5494,Medium
RSK-600511,EQ-1062,2023-01-21,0.3437,Medium
RSK-600512,EQ-1069,2023-02-21,0.25,Medium
RSK-600513,EQ-1025,2023-07-31,0.6035,High
RSK-600514,EQ-1099,2023-03-21,0.7243,High
RSK-600515,EQ-1052,2023-10-21,0.5308,Medium
RSK-600516,EQ-1030,2023-07-25,0.264,Medium
RSK-600517,EQ-1033,2023-11-20,0.1544,Low
RSK-600518,EQ-1070,2024-05-06,0.1663,Low
RSK-600519,EQ-1039,2023-09-25,0.3106,Medium
RSK-600520,EQ-1002,2023-08-06,0.2118,Low
RSK-600521,EQ-1139,2023-06-06,0.1689,Low
RSK-600522,EQ-1076,2023-08-19,0.6052,High
RSK-600523,EQ-1067,2023-02-24,0.2082,Low
RSK-600524,EQ-1114,2023-02-25,0.8383,Critical
RSK-600525,EQ-1046,2024-04-10,0.2115,Low
RSK-600526,EQ-1035,2023-04-14,0.892,Critical
RSK-600527,EQ-1026,2024-05-02,0.1304,Low
RSK-600528,EQ-1025,2024-05-15,0.2741,Medium
RSK-600529,EQ-1135,2024-04-15,0.6537,High
RSK-600530,EQ-1124,2023-01-22,0.3153,Medium
RSK-600531,EQ-1098,2023-09-07,0.0681,Low
RSK-600532,EQ-1002,2023-12-13,0.9827,Critical
RSK-600533,EQ-1055,2023-06-12,0.3821,Medium
RSK-600534,EQ-1063,2024-03-06,0.9328,Critical
RSK-600535,EQ-1137,2023-03-20,0.6366,High
RSK-600536,EQ-1018,2023-02-26,0.3373,Medium
RSK-600537,EQ-1132,2023-04-06,0.8783,Critical
RSK-600538,EQ-1075,2023-12-15,0.5104,Medium
RSK-600539,EQ-1022,2023-11-22,0.0869,Low
RSK-600540,EQ-1055,2023-07-03,0.8161,Critical
RSK-600541,EQ-1088,2023-09-05,0.2762,Medium
RSK-600542,EQ-1022,2023-05-25,0.7891,High
RSK-600543,EQ-1116,2023-05-27,0.3471,Medium
RSK-600544,EQ-1143,2024-04-12,0.6416,High
RSK-600545,EQ-1081,2023-09-13,0.763,High
RSK-600546,EQ-1098,2024-02-20,0.8239,Critical
RSK-600547,EQ-1077,2024-03-29,0.4996,Medium
RSK-600548,EQ-1144,2023-10-11,0.2057,Low
RSK-600549,EQ-1021,2023-10-21,0.3483,Medium
RSK-600550,EQ-1114,2024-03-25,0.2543,Medium
RSK-600551,EQ-1075,2024-03-01,0.4673,Medium
RSK-600552,EQ-1013,2024-03-04,0.8987,Critical
RSK-600553,EQ-1127,2024-03-23,0.0844,Low
RSK-600554,EQ-1055,2024-04-22,0.5666,High
RSK-600555,EQ-1105,2023-02-13,0.1352,Low
RSK-600556,EQ-1043,2024-04-08,0.9098,Critical
RSK-600557,EQ-1059,2023-01-20,0.3734,Medium
RSK-600558,EQ-1066,2023-08-14,0.7192,High
RSK-600559,EQ-1144,2023-11-24,0.6803,High
RSK-600560,EQ-1031,2023-05-15,0.4953,Medium
RSK-600561,EQ-1083,2023-01-16,0.8191,Critical
RSK-600562,EQ-1025,2023-12-18,0.598,High
RSK-600563,EQ-1063,2023-02-06,0.3741,Medium
RSK-600564,EQ-1018,2023-11-02,0.3233,Medium
RSK-600565,EQ-1022,2023-07-25,0.7834,High
RSK-600566,EQ-1114,2023-09-30,0.8722,Critical
RSK-600567,EQ-1146,2023-06-05,0.9235,Critical
RSK-600568,EQ-1118,2024-01-23,0.1633,Low
RSK-600569,EQ-1021,2024-01-16,0.9393,Critical
RSK-600570,EQ-1131,2023-10-18,0.7813,High
RSK-600571,EQ-1124,2024-04-01,0.9479,Critical
RSK-600572,EQ-1090,2024-01-13,0.3139,Medium
RSK-600573,EQ-1042,2023-01-23,0.9669,Critical
RSK-600574,EQ-1076,2024-01-10,0.8566,Critical
RSK-600575,EQ-1030,2023-04-30,0.5709,High
RSK-600576,EQ-1085,2023-02-25,0.0224,Low
RSK-600577,EQ-1125,2023-08-16,0.434,Medium
RSK-600578,EQ-1121,2023-04-27,0.25,Medium
RSK-600579,EQ-1098,2023-03-31,0.231,Low
RSK-600580,EQ-1046,2023-05-17,0.3585,Medium
RSK-600581,EQ-1061,2024-02-19,0.0504,Low
RSK-600582,EQ-1118,2023-05-21,0.672,High
RSK-600583,EQ-1026,2023-04-15,0.4344,Medium
RSK-600584,EQ-1019,2023-03-07,0.7373,High
RSK-600585,EQ-1068,2023-03-02,0.9286,Critical
RSK-600586,EQ-1004,2023-09-25,0.676,High
RSK-600587,EQ-1102,2023-05-19,0.6881,High
RSK-600588,EQ-1121,2023-04-14,0.4764,Medium
RSK-600589,EQ-1143,2024-02-06,0.1099,Low
RSK-600590,EQ-1147,2023-04-17,0.642,High
RSK-600591,EQ-1035,2023-07-05,0.4608,Medium
RSK-600592,EQ-1075,2023-12-18,0.9684,Critical
RSK-600593,EQ-1071,2024-01-25,0.4525,Medium
RSK-600594,EQ-1117,2023-04-26,0.8493,Critical
RSK-600595,EQ-1112,2024-05-01,0.9084,Critical
RSK-600596,EQ-1017,2023-07-04,0.7557,High
RSK-600597,EQ-1113,2023-04-02,0.2373,Low
RSK-600598,EQ-1100,2023-01-03,0.5382,Medium
RSK-600599,EQ-1146,2023-12-31,0.0902,Low
RSK-600600,EQ-1045,2023-01-09,0.1958,Low
RSK-600601,EQ-1043,2023-10-24,0.8103,Critical
RSK-600602,EQ-1080,2024-01-23,0.2371,Low
RSK-600603,EQ-1085,2023-09-15,0.5468,Medium
RSK-600604,EQ-1133,2024-04-18,0.8935,Critical
RSK-600605,EQ-1035,2023-03-10,0.8815,Critical
RSK-600606,EQ-1067,2024-02-13,0.4141,Medium
RSK-600607,EQ-1079,2023-02-22,0.7677,High
RSK-600608,EQ-1097,2023-07-15,0.6588,High
RSK-600609,EQ-1086,2023-10-19,0.2139,Low
RSK-600610,EQ-1007,2023-09-02,0.2211,Low
RSK-600611,EQ-1030,2023-12-20,0.3567,Medium
RSK-600612,EQ-1033,2023-03-16,0.5809,High
RSK-600613,EQ-1067,2023-04-18,0.4844,Medium
RSK-600614,EQ-1039,2023-10-30,0.0804,Low
RSK-600615,EQ-1112,2023-03-03,0.2426,Low
RSK-600616,EQ-1100,2023-01-23,0.2003,Low
RSK-600617,EQ-1132,2023-10-30,0.4363,Medium
RSK-600618,EQ-1039,2023-12-29,0.921,Critical
RSK-600619,EQ-1071,2023-02-07,0.3833,Medium
RSK-600620,EQ-1103,2024-04-09,0.9439,Critical
RSK-600621,EQ-1109,2023-10-11,0.33,Medium
RSK-600622,EQ-1017,2023-01-05,0.1716,Low
RSK-600623,EQ-1117,2023-12-17,0.4205,Medium
RSK-600624,EQ-1109,2023-11-04,0.2124,Low
RSK-600625,EQ-1143,2023-04-23,0.2515,Medium
RSK-600626,EQ-1037,2023-06-06,0.724,High
RSK-600627,EQ-1096,2024-03-04,0.4972,Medium
RSK-600628,EQ-1049,2024-02-21,0.8572,Critical
RSK-600629,EQ-1141,2023-10-30,0.25,Medium
RSK-600630,EQ-1128,2023-06-05,0.2155,Low
RSK-600631,EQ-1071,2023-10-15,0.3712,Medium
RSK-600632,EQ-1096,2023-11-01,0.5502,High
RSK-600633,EQ-1026,2023-04-18,0.1735,Low
RSK-600634,EQ-1016,2023-03-28,0.364,Medium
RSK-600635,EQ-1049,2024-04-20,0.5818,High
RSK-600636,EQ-1006,2023-04-07,0.2195,Low
RSK-600637,EQ-1027,2023-06-09,0.8347,Critical
RSK-600638,EQ-1002,2023-06-26,0.3252,Medium
RSK-600639,EQ-1129,2023-10-31,0.6651,High
RSK-600640,EQ-1046,2023-08-18,0.7772,High
RSK-600641,EQ-1056,2024-01-25,0.8358,Critical
RSK-600642,EQ-1104,2024-04-29,0.0652,Low
RSK-600643,EQ-1111,2024-02-27,0.7328,High
RSK-600644,EQ-1062,2023-09-21,0.5295,Medium
RSK-600645,EQ-1058,2023-03-28,0.5356,Medium
RSK-600646,EQ-1140,2023-07-13,0.6883,High
RSK-600647,EQ-1091,2023-03-23,0.1061,Low
RSK-600648,EQ-1113,2023-08-15,0.2923,Medium
RSK-600649,EQ-1099,2023-03-28,0.7501,High
RSK-600650,EQ-1009,2024-03-24,0.4123,Medium
RSK-600651,EQ-1097,2023-02-01,0.2776,Medium
RSK-600652,EQ-1097,2023-11-10,0.5801,High
RSK-600653,EQ-1089,2023-01-26,0.9278,Critical
RSK-600654,EQ-1121,2023-11-15,0.1584,Low
RSK-600655,EQ-1034,2023-07-06,0.9398,Critical
RSK-600656,EQ-1124,2023-07-28,0.3784,Medium
RSK-600657,EQ-1142,2023-03-16,0.5596,High
RSK-600658,EQ-1142,2024-02-12,0.5631,High
RSK-600659,EQ-1036,2023-10-06,0.506,Medium
RSK-600660,EQ-1027,2023-09-07,0.6548,High
RSK-600661,EQ-1039,2024-03-29,0.3522,Medium
RSK-600662,EQ-1082,2023-09-19,0.5493,Medium
RSK-600663,EQ-1040,2023-03-29,0.2337,Low
RSK-600664,EQ-1121,2024-03-22,0.9666,Critical
RSK-600665,EQ-1029,2024-01-05,0.2391,Low
RSK-600666,EQ-1062,2023-02-10,0.4458,Medium
RSK-600667,EQ-1046,2024-04-10,0.0148,Low
RSK-600668,EQ-1133,2023-04-28,0.4764,Medium
RSK-600669,EQ-1143,2023-05-22,0.7669,High
RSK-600670,EQ-1117,2023-01-09,0.5379,Medium
RSK-600671,EQ-1015,2023-02-05,0.0182,Low
RSK-600672,EQ-1104,2024-03-20,0.5568,High
RSK-600673,EQ-1001,2023-05-26,0.564,High
RSK-600674,EQ-1121,2024-04-30,0.3702,Medium
RSK-600675,EQ-1045,2023-07-14,0.4374,Medium
RSK-600676,EQ-1065,2023-12-23,0.8651,Critical
RSK-600677,EQ-1091,2023-08-23,0.25,Medium
RSK-600678,EQ-1017,2023-11-13,0.9656,Critical
RSK-600679,EQ-1143,2024-01-21,0.6333,High
RSK-600680,EQ-1118,2023-05-17,0.9673,Critical
RSK-600681,EQ-1133,2023-10-10,0.7524,High
RSK-600682,EQ-1007,2023-05-10,0.78,High
RSK-600683,EQ-1084,2023-07-24,0.6693,High
RSK-600684,EQ-1144,2023-06-02,0.7069,High
RSK-600685,EQ-1056,2023-03-18,0.8051,Critical
RSK-600686,EQ-1126,2024-03-04,0.2635,Medium
RSK-600687,EQ-1022,2023-06-24,0.9315,Critical
RSK-600688,EQ-1105,2024-03-22,0.7494,High
RSK-600689,EQ-1125,2024-03-04,0.5681,High
RSK-600690,EQ-1048,2024-04-29,0.657,High
RSK-600691,EQ-1104,2024-01-13,0.6911,High
RSK-600692,EQ-1148,2024-04-03,0.1914,Low
RSK-600693,EQ-1027,2023-11-23,0.4926,Medium
RSK-600694,EQ-1067,2023-01-27,0.9573,Critical
RSK-600695,EQ-1059,2023-03-16,0.133,Low
RSK-600696,EQ-1095,2024-02-06,0.7159,High
RSK-600697,EQ-1037,2023-02-18,0.3324,Medium
RSK-600698,EQ-1112,2023-09-24,0.9566,Critical
RSK-600699,EQ-1102,2023-12-16,0.1543,Low
RSK-600700,EQ-1137,2023-07-21,0.4498,Medium
RSK-600701,EQ-1110,2023-10-22,0.1417,Low
RSK-600702,EQ-1018,2023-08-17,0.25,Medium
RSK-600703,EQ-1013,2023-02-18,0.7821,High
RSK-600704,EQ-1144,2024-04-10,0.6991,High
RSK-600705,EQ-1088,2023-08-19,0.3987,Medium
RSK-600706,EQ-1016,2023-09-17,0.6528,High
RSK-600707,EQ-1135,2023-02-25,0.4107,Medium
RSK-600708,EQ-1100,2023-01-20,0.572,High
RSK-600709,EQ-1104,2023-03-06,0.4241,Medium
RSK-600710,EQ-1109,2023-01-26,0.8176,Critical
RSK-600711,EQ-1000,2024-01-05,0.8371,Critical
RSK-600712,EQ-1127,2023-06-29,0.4519,Medium
RSK-600713,EQ-1015,2023-08-10,0.8923,Critical
RSK-600714,EQ-1095,2023-02-19,0.5015,Medium
RSK-600715,EQ-1107,2023-03-31,0.25,Medium
RSK-600716,EQ-1115,2023-09-21,0.0983,Low
RSK-600717,EQ-1081,2023-09-29,0.0736,Low
RSK-600718,EQ-1004,2023-10-03,0.1928,Low
RSK-600719,EQ-1099,2024-01-21,0.7306,High
RSK-600720,EQ-1092,2023-08-17,0.9002,Critical
RSK-600721,EQ-1108,2023-11-02,0.25,Medium
RSK-600722,EQ-1043,2023-04-12,0.2695,Medium
RSK-600723,EQ-1135,2023-12-18,0.25,Medium
RSK-600724,EQ-1065,2023-09-29,0.2772,Medium
RSK-600725,EQ-1080,2024-03-06,0.4565,Medium
RSK-600726,EQ-1017,2023-08-27,0.5231,Medium
RSK-600727,EQ-1087,2023-08-21,0.21,Low
RSK-600728,EQ-1066,2023-07-26,0.2018,Low
RSK-600729,EQ-1094,2023-04-02,0.25,Medium
RSK-600730,EQ-1047,2023-07-06,0.5091,Medium
RSK-600731,EQ-1033,2024-05-12,0.5532,High
RSK-600732,EQ-1084,2023-02-14,0.9396,Critical
RSK-600733,EQ-1042,2023-10-01,0.3966,Medium
RSK-600734,EQ-1047,2024-01-15,0.6172,High
RSK-600735,EQ-1096,2024-02-07,0.8363,Critical
RSK-600736,EQ-1018,2024-02-24,0.25,Medium
RSK-600737,EQ-1018,2023-03-10,0.7038,High
RSK-600738,EQ-1069,2024-04-22,0.172,Low
RSK-600739,EQ-1124,2023-11-18,0.0753,Low
RSK-600740,EQ-1005,2023-09-18,0.4853,Medium
RSK-600741,EQ-1005,2024-04-30,0.6108,High
RSK-600742,EQ-1001,2023-06-23,0.4957,Medium
RSK-600743,EQ-1147,2023-12-27,0.954,Critical
RSK-600744,EQ-1101,2023-07-03,0.2986,Medium
RSK-600745,EQ-1084,2023-05-28,0.3847,Medium
RSK-600746,EQ-1125,2024-03-25,0.5403,Medium
RSK-600747,EQ-1120,2023-10-29,0.569,High
RSK-600748,EQ-1014,2023-04-19,0.2254,Low
RSK-600749,EQ-1134,2023-06-02,0.5767,High
RSK-600750,EQ-1003,2023-01-10,0.25,Medium
RSK-600751,EQ-1145,2024-01-11,0.5947,High
RSK-600752,EQ-1053,2023-12-13,0.0914,Low
RSK-600753,EQ-1129,2023-10-20,0.9126,Critical
RSK-600754,EQ-1142,2024-04-10,0.2522,Medium
RSK-600755,EQ-1082,2023-10-30,0.175,Low
RSK-600756,EQ-1096,2023-08-04,0.7086,High
RSK-600757,EQ-1051,2023-08-18,0.454,Medium
RSK-600758,EQ-1018,2023-06-12,0.4568,Medium
RSK-600759,EQ-1137,2023-10-29,0.4967,Medium
RSK-600760,EQ-1011,2023-04-10,0.4777,Medium
RSK-600761,EQ-1100,2023-03-10,0.4667,Medium
RSK-600762,EQ-1133,2024-04-21,0.9311,Critical
RSK-600763,EQ-1019,2024-02-15,0.3124,Medium
RSK-600764,EQ-1115,2024-03-22,0.9602,Critical
RSK-600765,EQ-1079,2023-08-28,0.5981,High
RSK-600766,EQ-1061,2024-03-08,0.7343,High
RSK-600767,EQ-1046,2023-07-13,0.25,Medium
RSK-600768,EQ-1007,2023-11-16,0.6706,High
RSK-600769,EQ-1032,2023-09-28,0.25,Medium
RSK-600770,EQ-1008,2023-10-18,0.7756,High
RSK-600771,EQ-1000,2023-03-21,0.2405,Low
RSK-600772,EQ-1094,2023-03-15,0.312,Medium
RSK-600773,EQ-1141,2024-02-24,0.9231,Critical
RSK-600774,EQ-1025,2023-03-17,0.5795,High
RSK-600775,EQ-1123,2023-09-05,0.6254,High
RSK-600776,EQ-1045,2023-08-10,0.4126,Medium
RSK-600777,EQ-1093,2024-02-26,0.024,Low
RSK-600778,EQ-1091,2023-12-19,0.2841,Medium
RSK-600779,EQ-1002,2023-06-03,0.2491,Low
RSK-600780,EQ-1077,2023-03-18,0.2699,Medium
RSK-600781,EQ-1092,2023-03-23,0.2332,Low
RSK-600782,EQ-1073,2023-10-15,0.25,Medium
RSK-600783,EQ-1063,2024-02-06,0.1104,Low
RSK-600784,EQ-1137,2023-07-11,0.2479,Low
RSK-600785,EQ-1125,2023-10-02,0.828,Critical
RSK-600786,EQ-1108,2023-11-24,0.782,High
RSK-600787,EQ-1144,2023-06-03,0.5317,Medium
RSK-600788,EQ-1048,2023-10-03,0.624,High
RSK-600789,EQ-1085,2024-03-20,0.2999,Medium
RSK-600790,EQ-1089,2023-08-22,0.7489,High
RSK-600791,EQ-1085,2023-09-02,0.4935,Medium
RSK-600792,EQ-1006,2024-04-30,0.8953,Critical
RSK-600793,EQ-1072,2023-05-25,0.9873,Critical
RSK-600794,EQ-1027,2024-04-07,0.2001,Low
RSK-600795,EQ-1012,2023-06-12,0.2757,Medium
RSK-600796,EQ-1131,2023-01-03,0.8856,Critical
RSK-600797,EQ-1042,2024-05-02,0.4923,Medium
RSK-600798,EQ-1142,2023-09-24,0.5574,High
RSK-600799,EQ-1076,2023-02-09,0.8134,Critical
RSK-600800,EQ-1012,2023-07-07,0.7336,High
