Repair_ID,Equipment_ID,Repair_Date,Part_Replaced
RPR-500502,EQ-1131,2023-05-06,Battery
RPR-500503,EQ-1076,2023-12-20,Radiator
RPR-500504,EQ-1031,2023-03-06,Fuel Injector
RPR-500505,EQ-1007,2023-06-22,Fuel Injector
RPR-500506,EQ-1042,2023-09-26,Fuel Injector
RPR-500507,EQ-1016,2023-09-03,Fuel Injector
RPR-500508,EQ-1110,2024-01-16,Fuel Injector
RPR-500509,EQ-1053,2023-06-12,Radiator
RPR-500510,EQ-1101,2023-10-09,Clutch Plate
RPR-500511,EQ-1087,2023-09-01,Clutch Plate
RPR-500512,EQ-1142,2023-09-13,Transmission Belt
RPR-500513,EQ-1097,2023-07-13,Battery
RPR-500514,EQ-1096,2024-01-23,Battery
RPR-500515,EQ-1141,2024-01-08,Transmission Belt
RPR-500516,EQ-1123,2023-07-09,Battery
RPR-500517,EQ-1053,2023-10-02,Alternator
RPR-500518,EQ-1057,2023-04-10,Radiator
RPR-500519,EQ-1019,2024-01-30,Transmission Belt
RPR-500520,EQ-1018,2023-08-28,Clutch Plate
RPR-500521,EQ-1137,2024-03-02,General Component
RPR-500522,EQ-1070,2023-11-07,Clutch Plate
RPR-500523,EQ-1106,2023-12-08,Fuel Injector
RPR-500524,EQ-1080,2023-08-07,Fuel Injector
RPR-500525,EQ-1140,2023-01-13,Clutch Plate
RPR-500526,EQ-1095,2023-09-04,Hydraulic Pump
RPR-500527,EQ-1123,2023-10-30,Battery
RPR-500528,EQ-1049,2023-03-18,Clutch Plate
RPR-500529,EQ-1029,2024-04-19,Battery
RPR-500530,EQ-1116,2023-06-08,Transmission Belt
RPR-500531,EQ-1038,2024-05-15,Clutch Plate
RPR-500532,EQ-1102,2024-03-25,Hydraulic Pump
RPR-500533,EQ-1010,2023-05-09,Radiator
RPR-500534,EQ-1103,2023-03-06,Radiator
RPR-500535,EQ-1023,2023-08-07,Starter Motor
RPR-500536,EQ-1069,2023-10-23,Clutch Plate
RPR-500537,EQ-1140,2023-04-28,Transmission Belt
RPR-500538,EQ-1067,2024-03-26,Hydraulic Pump
RPR-500539,EQ-1131,2023-03-12,Hydraulic Pump
RPR-500540,EQ-1027,2023-10-07,Radiator
RPR-500541,EQ-1132,2024-04-06,Battery
RPR-500542,EQ-1026,2024-03-11,Battery
RPR-500543,EQ-1063,2023-05-10,Radiator
RPR-500544,EQ-1005,2023-07-28,Alternator
RPR-500545,EQ-1079,2023-08-29,Alternator
RPR-500546,EQ-1036,2023-03-26,Starter Motor
RPR-500547,EQ-1136,2024-02-14,Transmission Belt
RPR-500548,EQ-1148,2024-05-09,Starter Motor
RPR-500549,EQ-1146,2023-03-31,Fuel Injector
RPR-500550,EQ-1149,2023-10-04,Transmission Belt
RPR-500551,EQ-1131,2023-06-30,Clutch Plate
RPR-500552,EQ-1057,2023-03-24,Starter Motor
RPR-500553,EQ-1121,2023-01-17,Transmission Belt
RPR-500554,EQ-1053,2024-04-15,Hydraulic Pump
RPR-500555,EQ-1097,2023-03-15,Starter Motor
RPR-500556,EQ-1109,2023-07-28,Transmission Belt
RPR-500557,EQ-1086,2024-03-21,Fuel Injector
RPR-500558,EQ-1068,2024-01-24,Starter Motor
RPR-500559,EQ-1091,2024-04-21,Radiator
RPR-500560,EQ-1083,2023-02-09,Clutch Plate
RPR-500561,EQ-1145,2023-10-13,Clutch Plate
RPR-500562,EQ-1089,2023-05-09,Battery
RPR-500563,EQ-1034,2023-04-20,Hydraulic Pump
RPR-500564,EQ-1116,2023-10-19,Transmission Belt
RPR-500565,EQ-1026,2024-02-29,Battery
RPR-500566,EQ-1065,2023-04-08,Starter Motor
RPR-500567,EQ-1019,2023-07-28,Transmission Belt
RPR-500568,EQ-1037,2023-11-04,Alternator
RPR-500569,EQ-1127,2024-04-18,Alternator
RPR-500570,EQ-1146,2023-05-12,Clutch Plate
RPR-500571,EQ-1073,2023-08-11,Starter Motor
RPR-500572,EQ-1044,2023-08-09,Alternator
RPR-500573,EQ-1068,2023-06-07,Radiator
RPR-500574,EQ-1025,2024-01-13,Starter Motor
RPR-500575,EQ-1041,2023-04-21,Battery
RPR-500576,EQ-1017,2023-12-16,Battery
RPR-500577,EQ-1072,2023-05-21,Clutch Plate
RPR-500578,EQ-1092,2023-02-17,Fuel Injector
RPR-500579,EQ-1120,2023-03-10,Alternator
RPR-500580,EQ-1059,2023-09-17,Alternator
RPR-500581,EQ-1085,2023-07-29,Radiator
RPR-500582,EQ-1110,2023-07-14,Fuel Injector
RPR-500583,EQ-1123,2023-12-28,Alternator
RPR-500584,EQ-1135,2023-08-30,Alternator
RPR-500585,EQ-1080,2024-04-12,Fuel Injector
RPR-500586,EQ-1122,2024-04-10,Clutch Plate
RPR-500587,EQ-1145,2023-11-23,Hydraulic Pump
RPR-500588,EQ-1089,2024-05-13,Transmission Belt
RPR-500589,EQ-1128,2024-01-29,Radiator
RPR-500590,EQ-1125,2023-08-07,Alternator
RPR-500591,EQ-1123,2023-04-26,Alternator
RPR-500592,EQ-1067,2023-10-09,Fuel Injector
RPR-500593,EQ-1081,2023-12-08,Alternator
RPR-500594,EQ-1046,2023-02-27,Battery
RPR-500595,EQ-1147,2024-04-20,Starter Motor
RPR-500596,EQ-1092,2023-12-07,Fuel Injector
RPR-500597,EQ-1103,2024-04-10,Fuel Injector
RPR-500598,EQ-1043,2024-02-26,Clutch Plate
RPR-500599,EQ-1055,2023-08-29,Alternator
RPR-500600,EQ-1074,2023-01-28,Hydraulic Pump
RPR-500601,EQ-1068,2023-11-18,Alternator
RPR-500602,EQ-1041,2023-10-26,Radiator
RPR-500603,EQ-1116,2023-01-11,Fuel Injector
RPR-500604,EQ-1022,2023-10-28,Battery
RPR-500605,EQ-1079,2023-11-12,Alternator
RPR-500606,EQ-1141,2024-01-22,Alternator
RPR-500607,EQ-1022,2023-08-21,Radiator
RPR-500608,EQ-1067,2023-07-03,Battery
RPR-500609,EQ-1123,2023-04-21,Alternator
RPR-500610,EQ-1024,2023-02-24,Battery
RPR-500611,EQ-1017,2023-09-24,Transmission Belt
RPR-500612,EQ-1015,2023-02-07,General Component
RPR-500613,EQ-1047,2023-08-28,Alternator
RPR-500614,EQ-1034,2024-05-07,Transmission Belt
RPR-500615,EQ-1148,2024-02-05,Battery
RPR-500616,EQ-1125,2023-06-26,Transmission Belt
RPR-500617,EQ-1093,2023-01-15,Radiator
RPR-500618,EQ-1103,2024-02-28,Alternator
RPR-500619,EQ-1032,2023-05-10,Radiator
RPR-500620,EQ-1020,2023-02-09,Fuel Injector
RPR-500621,EQ-1109,2024-01-01,Transmission Belt
RPR-500622,EQ-1101,2023-09-13,Hydraulic Pump
RPR-500623,EQ-1078,2023-07-27,Hydraulic Pump
RPR-500624,EQ-1025,2023-08-21,Battery
RPR-500625,EQ-1146,2023-07-13,Hydraulic Pump
RPR-500626,EQ-1028,2023-01-16,Fuel Injector
RPR-500627,EQ-1116,2024-03-21,Clutch Plate
RPR-500628,EQ-1039,2023-08-23,Battery
RPR-500629,EQ-1123,2023-06-03,Transmission Belt
RPR-500630,EQ-1069,2024-01-29,Radiator
RPR-500631,EQ-1116,2023-05-10,Alternator
RPR-500632,EQ-1067,2023-04-08,Starter Motor
RPR-500633,EQ-1061,2023-10-27,General Component
RPR-500634,EQ-1003,2024-04-17,Fuel Injector
RPR-500635,EQ-1106,2023-12-22,Hydraulic Pump
RPR-500636,EQ-1014,2024-05-07,Fuel Injector
RPR-500637,EQ-1085,2024-02-05,Battery
RPR-500638,EQ-1148,2023-12-28,Starter Motor
RPR-500639,EQ-1028,2023-01-02,Alternator
RPR-500640,EQ-1061,2024-03-28,Clutch Plate
RPR-500641,EQ-1082,2023-03-02,Alternator
RPR-500642,EQ-1084,2023-12-30,Clutch Plate
RPR-500643,EQ-1116,2024-03-09,Transmission Belt
RPR-500644,EQ-1143,2023-11-05,Alternator
RPR-500645,EQ-1028,2023-06-07,Alternator
RPR-500646,EQ-1040,2023-09-23,Alternator
RPR-500647,EQ-1071,2023-03-31,Fuel Injector
RPR-500648,EQ-1025,2023-11-27,Radiator
RPR-500649,EQ-1109,2024-04-29,Clutch Plate
RPR-500650,EQ-1146,2024-04-18,Clutch Plate
RPR-500651,EQ-1145,2023-10-28,Starter Motor
RPR-500652,EQ-1130,2023-10-01,Clutch Plate
RPR-500653,EQ-1143,2023-10-06,Alternator
RPR-500654,EQ-1139,2023-03-02,Battery
RPR-500655,EQ-1098,2023-08-21,Alternator
RPR-500656,EQ-1112,2023-02-27,Clutch Plate
RPR-500657,EQ-1006,2023-12-07,Hydraulic Pump
RPR-500658,EQ-1079,2023-08-05,Clutch Plate
RPR-500659,EQ-1138,2023-01-29,Transmission Belt
RPR-500660,EQ-1093,2023-11-23,Hydraulic Pump
RPR-500661,EQ-1111,2023-04-16,Alternator
RPR-500662,EQ-1139,2023-03-26,Hydraulic Pump
RPR-500663,EQ-1018,2023-09-28,Radiator
RPR-500664,EQ-1053,2023-09-30,Hydraulic Pump
RPR-500665,EQ-1023,2024-01-01,Fuel Injector
RPR-500666,EQ-1135,2023-12-06,Transmission Belt
RPR-500667,EQ-1052,2024-03-18,General Component
RPR-500668,EQ-1097,2023-07-27,Clutch Plate
RPR-500669,EQ-1127,2023-06-23,Radiator
RPR-500670,EQ-1033,2023-04-13,Hydraulic Pump
RPR-500671,EQ-1078,2023-11-12,Transmission Belt
RPR-500672,EQ-1103,2024-04-01,Alternator
RPR-500673,EQ-1033,2023-07-07,Battery
RPR-500674,EQ-1001,2024-01-25,Alternator
RPR-500675,EQ-1053,2024-03-17,Starter Motor
RPR-500676,EQ-1149,2023-11-17,Clutch Plate
RPR-500677,EQ-1014,2024-04-29,Radiator
RPR-500678,EQ-1090,2023-03-27,Alternator
RPR-500679,EQ-1064,2023-11-19,Battery
RPR-500680,EQ-1118,2024-04-15,Radiator
RPR-500681,EQ-1040,2023-03-14,General Component
RPR-500682,EQ-1129,2023-06-26,Alternator
RPR-500683,EQ-1125,2023-08-29,Clutch Plate
RPR-500684,EQ-1030,2023-04-29,General Component
RPR-500685,EQ-1061,2023-12-12,Fuel Injector
RPR-500686,EQ-1038,2024-02-23,Alternator
RPR-500687,EQ-1144,2024-02-18,Radiator
RPR-500688,EQ-1015,2024-02-03,Alternator
RPR-500689,EQ-1111,2024-03-06,Hydraulic Pump
RPR-500690,EQ-1073,2024-02-16,Fuel Injector
RPR-500691,EQ-1082,2023-06-18,Battery
RPR-500692,EQ-1109,2024-04-21,Clutch Plate
RPR-500693,EQ-1072,2023-01-24,Starter Motor
RPR-500694,EQ-1029,2023-05-04,Starter Motor
RPR-500695,EQ-1006,2023-06-21,Hydraulic Pump
RPR-500696,EQ-1030,2024-02-04,Fuel Injector
RPR-500697,EQ-1042,2024-03-17,Alternator
RPR-500698,EQ-1059,2023-06-13,Battery
RPR-500699,EQ-1042,2023-11-20,Fuel Injector
RPR-500700,EQ-1047,2024-01-13,Battery
