Maintenance_ID,Equipment_ID,Maintenance_Date,Type,Cost
MNT-300425,EQ-1046,2023-03-31,Hydraulic Repair,2313.72
MNT-300426,EQ-1028,2024-02-23,Routine Service,2084.54
MNT-300427,EQ-1069,2024-01-10,Brake Check,2613.92
MNT-300428,EQ-1103,2023-11-18,Engine Overhaul,2702.41
MNT-300429,EQ-1054,2023-07-25,Oil Change,3301.22
MNT-300430,EQ-1118,2023-04-22,Routine Service,3464.09
MNT-300431,EQ-1073,2023-11-18,Hydraulic Repair,2773.53
MNT-300432,EQ-1073,2023-02-06,Brake Check,1798.78
MNT-300433,EQ-1077,2023-08-03,Oil Change,1493.68
MNT-300434,EQ-1125,2023-10-12,Routine Service,3398.62
MNT-300435,EQ-1083,2023-02-15,Filter Change,1798.78
MNT-300436,EQ-1048,2023-06-01,General Maintenance,428.27
MNT-300437,EQ-1146,2023-03-26,Engine Overhaul,2786.11
MNT-300438,EQ-1099,2023-02-26,Routine Service,2118.32
MNT-300439,EQ-1113,2023-07-28,Engine Overhaul,1903.82
MNT-300440,EQ-1128,2023-06-11,Routine Service,3248.18
MNT-300441,EQ-1117,2023-07-11,Engine Overhaul,132.33
MNT-300442,EQ-1062,2024-03-03,Brake Check,3090.59
MNT-300443,EQ-1026,2023-04-02,Tire Replacement,1798.78
MNT-300444,EQ-1026,2024-01-21,Engine Overhaul,2189.3
MNT-300445,EQ-1071,2023-02-24,Oil Change,3193.72
MNT-300446,EQ-1038,2023-03-13,Engine Overhaul,2660.52
MNT-300447,EQ-1094,2023-02-08,Tire Replacement,2879.81
MNT-300448,EQ-1138,2023-10-17,Routine Service,2826.19
MNT-300449,EQ-1057,2023-06-25,Routine Service,3048.29
MNT-300450,EQ-1006,2023-10-08,Oil Change,538.34
MNT-300451,EQ-1141,2023-07-20,Oil Change,1743.93
MNT-300452,EQ-1078,2023-05-15,Routine Service,955.1
MNT-300453,EQ-1085,2023-03-30,Tire Replacement,997.53
MNT-300454,EQ-1139,2023-10-24,Engine Overhaul,1386.37
MNT-300455,EQ-1012,2023-08-18,Oil Change,1521.49
MNT-300456,EQ-1142,2023-08-26,Routine Service,3248.61
MNT-300457,EQ-1089,2023-01-27,Hydraulic Repair,3033.98
MNT-300458,EQ-1076,2023-02-26,Filter Change,1573.74
MNT-300459,EQ-1134,2023-11-19,Routine Service,1167.25
MNT-300460,EQ-1119,2024-02-03,Oil Change,1844.42
MNT-300461,EQ-1016,2023-10-12,Filter Change,2959.64
MNT-300462,EQ-1076,2024-01-23,Engine Overhaul,3363.18
MNT-300463,EQ-1090,2023-02-15,Engine Overhaul,983.51
MNT-300464,EQ-1131,2024-04-17,Routine Service,1529.5
MNT-300465,EQ-1135,2023-07-08,Routine Service,2364.06
MNT-300466,EQ-1001,2023-06-20,Tire Replacement,2608.48
MNT-300467,EQ-1037,2024-03-25,Routine Service,2709.96
MNT-300468,EQ-1102,2023-07-11,Engine Overhaul,1904.95
MNT-300469,EQ-1095,2023-07-29,Engine Overhaul,1609.06
MNT-300470,EQ-1100,2023-02-16,Tire Replacement,2530.1
MNT-300471,EQ-1137,2023-02-17,Tire Replacement,3064.72
MNT-300472,EQ-1029,2023-01-12,Routine Service,2533.65
MNT-300473,EQ-1008,2023-03-31,Tire Replacement,2948.34
MNT-300474,EQ-1085,2023-11-27,Routine Service,3276.37
MNT-300475,EQ-1063,2023-02-02,Tire Replacement,1991.82
MNT-300476,EQ-1142,2023-03-23,Oil Change,726.41
MNT-300477,EQ-1131,2024-04-17,Oil Change,280.4
MNT-300478,EQ-1127,2023-05-30,Hydraulic Repair,1798.78
MNT-300479,EQ-1104,2024-04-02,Filter Change,415.43
MNT-300480,EQ-1099,2023-10-29,Tire Replacement,3005.62
MNT-300481,EQ-1062,2023-03-30,Oil Change,2733.98
MNT-300482,EQ-1118,2023-10-29,Oil Change,965.12
MNT-300483,EQ-1000,2023-09-25,Filter Change,1881.64
MNT-300484,EQ-1022,2024-05-11,Engine Overhaul,1489.18
MNT-300485,EQ-1001,2023-07-13,Hydraulic Repair,2710.97
MNT-300486,EQ-1111,2023-08-29,Engine Overhaul,1145.11
MNT-300487,EQ-1118,2023-09-14,Hydraulic Repair,246.97
MNT-300488,EQ-1043,2023-09-27,Tire Replacement,650.13
MNT-300489,EQ-1145,2023-09-26,Hydraulic Repair,2458.13
MNT-300490,EQ-1031,2024-04-06,Oil Change,2225.17
MNT-300491,EQ-1121,2023-02-05,Engine Overhaul,1393.33
MNT-300492,EQ-1044,2024-02-18,Tire Replacement,1751.23
MNT-300493,EQ-1089,2023-06-20,Routine Service,3201.39
MNT-300494,EQ-1129,2023-04-28,Engine Overhaul,2121.98
MNT-300495,EQ-1088,2023-04-28,Tire Replacement,2961.92
MNT-300496,EQ-1027,2024-03-22,Oil Change,945.41
MNT-300497,EQ-1083,2023-12-07,Hydraulic Repair,1353.1
MNT-300498,EQ-1139,2023-04-17,Brake Check,251.18
MNT-300499,EQ-1127,2023-02-25,Hydraulic Repair,1336.53
MNT-300500,EQ-1021,2023-09-20,Hydraulic Repair,2634.1
MNT-300501,EQ-1105,2023-07-13,Hydraulic Repair,3107.92
MNT-300502,EQ-1115,2023-12-02,Brake Check,3008.95
MNT-300503,EQ-1011,2023-11-11,Oil Change,467.39
MNT-300504,EQ-1063,2023-12-02,Tire Replacement,3250.4
MNT-300505,EQ-1066,2023-12-07,Oil Change,244.74
MNT-300506,EQ-1012,2023-06-02,Routine Service,1317.18
MNT-300507,EQ-1014,2023-01-05,Hydraulic Repair,1798.78
MNT-300508,EQ-1127,2024-04-28,Brake Check,1144.42
MNT-300509,EQ-1096,2023-04-30,Tire Replacement,1196.25
MNT-300510,EQ-1109,2023-06-13,Hydraulic Repair,2858.38
MNT-300511,EQ-1074,2024-02-25,Unknown,2155.91
MNT-300512,EQ-1063,2023-10-05,Routine Service,3483.19
MNT-300513,EQ-1004,2023-08-15,Routine Service,2339.11
MNT-300514,EQ-1013,2024-01-27,Oil Change,1821.59
MNT-300515,EQ-1099,2023-11-20,Brake Check,1798.78
MNT-300516,EQ-1135,2023-03-27,Brake Check,2205.12
MNT-300517,EQ-1107,2023-05-20,Brake Check,168.81
MNT-300518,EQ-1087,2024-03-25,Oil Change,100.53
MNT-300519,EQ-1008,2023-11-28,Routine Service,3354.28
MNT-300520,EQ-1016,2023-09-28,Hydraulic Repair,2442.79
MNT-300521,EQ-1047,2023-02-01,Routine Service,126.66
MNT-300522,EQ-1098,2024-03-02,Hydraulic Repair,2649.87
MNT-300523,EQ-1010,2023-10-26,Oil Change,608.87
MNT-300524,EQ-1104,2024-01-12,Hydraulic Repair,1054.32
MNT-300525,EQ-1102,2023-06-08,Brake Check,2732.63
MNT-300526,EQ-1122,2023-10-31,Filter Change,1294.0
MNT-300527,EQ-1036,2023-03-06,Routine Service,2224.5
MNT-300528,EQ-1083,2024-02-06,Hydraulic Repair,3165.09
MNT-300529,EQ-1063,2023-06-25,Engine Overhaul,3257.44
MNT-300530,EQ-1130,2024-02-05,Engine Overhaul,1697.15
MNT-300531,EQ-1031,2024-02-06,Filter Change,1140.51
MNT-300532,EQ-1021,2023-11-24,Hydraulic Repair,1073.61
MNT-300533,EQ-1083,2024-01-08,Oil Change,1858.44
MNT-300534,EQ-1068,2023-09-03,Hydraulic Repair,2299.29
MNT-300535,EQ-1057,2023-08-04,Routine Service,1194.68
MNT-300536,EQ-1141,2023-03-29,Brake Check,2977.35
MNT-300537,EQ-1016,2024-03-25,Brake Check,1344.48
MNT-300538,EQ-1007,2024-04-15,Oil Change,1647.86
MNT-300539,EQ-1003,2023-05-25,Filter Change,3426.79
MNT-300540,EQ-1058,2023-08-23,Routine Service,679.28
MNT-300541,EQ-1107,2023-12-25,Routine Service,1873.51
MNT-300542,EQ-1053,2023-11-09,Hydraulic Repair,1798.78
MNT-300543,EQ-1007,2023-02-19,Brake Check,2632.0
MNT-300544,EQ-1094,2024-02-26,Engine Overhaul,948.74
MNT-300545,EQ-1035,2024-03-22,Hydraulic Repair,1798.78
MNT-300546,EQ-1039,2023-01-15,Hydraulic Repair,2916.97
MNT-300547,EQ-1082,2023-11-30,Oil Change,1798.78
MNT-300548,EQ-1149,2023-10-25,Tire Replacement,2354.38
MNT-300549,EQ-1035,2024-02-23,Oil Change,3015.18
MNT-300550,EQ-1148,2024-01-31,Brake Check,742.83
MNT-300551,EQ-1002,2023-09-16,Brake Check,3494.27
MNT-300552,EQ-1035,2023-12-03,Routine Service,3196.89
MNT-300553,EQ-1058,2023-04-10,Brake Check,929.11
MNT-300554,EQ-1020,2023-01-18,Hydraulic Repair,1954.88
MNT-300555,EQ-1106,2023-05-28,Oil Change,2117.03
MNT-300556,EQ-1124,2023-01-07,Filter Change,1328.76
MNT-300557,EQ-1136,2023-10-07,Engine Overhaul,2573.88
MNT-300558,EQ-1007,2023-10-17,Routine Service,3426.96
MNT-300559,EQ-1144,2023-06-14,Hydraulic Repair,1137.89
MNT-300560,EQ-1054,2023-09-27,Hydraulic Repair,2002.32
MNT-300561,EQ-1112,2023-06-30,Tire Replacement,1379.67
MNT-300562,EQ-1011,2023-08-27,Filter Change,2947.48
MNT-300563,EQ-1031,2023-12-21,Oil Change,2864.57
MNT-300564,EQ-1148,2024-03-01,Engine Overhaul,1802.04
MNT-300565,EQ-1055,2023-05-16,Hydraulic Repair,1407.71
MNT-300566,EQ-1063,2023-12-01,Tire Replacement,2504.99
MNT-300567,EQ-1073,2024-04-02,Tire Replacement,459.62
MNT-300568,EQ-1066,2024-03-07,Oil Change,1661.03
MNT-300569,EQ-1136,2024-03-28,Tire Replacement,1347.87
MNT-300570,EQ-1117,2023-06-04,Routine Service,1097.3
MNT-300571,EQ-1019,2024-05-12,Hydraulic Repair,2852.76
MNT-300572,EQ-1004,2023-12-01,Oil Change,1798.78
MNT-300573,EQ-1062,2023-06-24,Filter Change,1203.58
MNT-300574,EQ-1025,2023-08-26,Tire Replacement,538.15
MNT-300575,EQ-1078,2024-02-13,Hydraulic Repair,2470.77
MNT-300576,EQ-1061,2023-08-06,Routine Service,241.9
MNT-300577,EQ-1037,2023-11-08,Brake Check,1354.48
MNT-300578,EQ-1091,2024-01-11,Filter Change,1105.39
MNT-300579,EQ-1103,2023-11-19,Filter Change,669.49
MNT-300580,EQ-1120,2023-01-16,Tire Replacement,1847.98
MNT-300581,EQ-1126,2024-02-04,Routine Service,545.71
MNT-300582,EQ-1138,2023-05-06,Hydraulic Repair,1536.0
MNT-300583,EQ-1137,2023-09-16,Oil Change,1954.74
MNT-300584,EQ-1149,2023-05-28,Routine Service,772.19
MNT-300585,EQ-1034,2023-03-08,Oil Change,2505.16
MNT-300586,EQ-1007,2023-08-26,Hydraulic Repair,1241.98
MNT-300587,EQ-1130,2023-12-14,Tire Replacement,2803.89
MNT-300588,EQ-1032,2023-09-15,Brake Check,1003.05
MNT-300589,EQ-1062,2024-04-01,Oil Change,3496.38
MNT-300590,EQ-1084,2023-01-09,Routine Service,2926.27
MNT-300591,EQ-1090,2023-01-22,Engine Overhaul,3335.51
MNT-300592,EQ-1072,2023-06-28,Filter Change,2856.51
MNT-300593,EQ-1095,2023-01-07,Brake Check,2746.2
MNT-300594,EQ-1044,2023-06-25,Brake Check,2297.72
MNT-300595,EQ-1109,2023-02-04,Routine Service,968.54
MNT-300596,EQ-1133,2024-04-19,Engine Overhaul,704.39
MNT-300597,EQ-1129,2023-08-20,Oil Change,840.15
MNT-300598,EQ-1022,2023-04-21,Tire Replacement,808.44
MNT-300599,EQ-1055,2023-10-28,Brake Check,2534.42
MNT-300600,EQ-1074,2023-06-18,Filter Change,597.96
MNT-300601,EQ-1107,2023-11-30,Routine Service,2948.48
MNT-300602,EQ-1136,2023-08-03,Hydraulic Repair,1471.45
MNT-300603,EQ-1073,2023-11-29,Filter Change,1798.78
MNT-300604,EQ-1009,2023-09-10,Engine Overhaul,1360.11
MNT-300605,EQ-1146,2023-11-10,Engine Overhaul,399.29
MNT-300606,EQ-1140,2023-11-14,Oil Change,1827.45
MNT-300607,EQ-1110,2024-01-12,Filter Change,1798.78
MNT-300608,EQ-1032,2023-04-13,Routine Service,1382.22
MNT-300609,EQ-1035,2023-06-30,Oil Change,3397.55
MNT-300610,EQ-1071,2023-07-22,Hydraulic Repair,2534.18
MNT-300611,EQ-1087,2023-01-13,Oil Change,2033.96
MNT-300612,EQ-1059,2023-05-11,Oil Change,2254.95
MNT-300613,EQ-1002,2024-04-29,Brake Check,313.9
MNT-300614,EQ-1092,2023-06-06,Oil Change,2922.45
MNT-300615,EQ-1095,2024-03-16,Routine Service,1538.5
MNT-300616,EQ-1094,2023-04-21,Engine Overhaul,2324.6
MNT-300617,EQ-1038,2024-01-25,Routine Service,2500.11
MNT-300618,EQ-1107,2023-01-02,Hydraulic Repair,2485.13
MNT-300619,EQ-1074,2024-02-01,Filter Change,2119.84
MNT-300620,EQ-1141,2023-08-19,Engine Overhaul,2679.27
MNT-300621,EQ-1041,2023-01-19,Tire Replacement,1441.66
MNT-300622,EQ-1023,2023-02-13,Tire Replacement,1571.87
MNT-300623,EQ-1051,2023-01-20,Tire Replacement,1537.15
MNT-300624,EQ-1088,2023-05-05,Brake Check,360.54
MNT-300625,EQ-1148,2024-02-28,Filter Change,1680.06
MNT-300626,EQ-1027,2023-12-03,Routine Service,1460.74
MNT-300627,EQ-1137,2023-03-26,Tire Replacement,1314.84
MNT-300628,EQ-1030,2023-12-09,Routine Service,3081.85
MNT-300629,EQ-1062,2024-04-02,Hydraulic Repair,266.14
MNT-300630,EQ-1138,2024-04-26,Routine Service,686.84
MNT-300631,EQ-1124,2024-01-30,Filter Change,1043.99
MNT-300632,EQ-1003,2023-01-22,Routine Service,1579.48
MNT-300633,EQ-1106,2023-05-01,Routine Service,2810.42
MNT-300634,EQ-1006,2024-01-11,Tire Replacement,1358.88
MNT-300635,EQ-1116,2023-12-26,Engine Overhaul,2431.32
MNT-300636,EQ-1057,2024-03-02,Routine Service,950.14
MNT-300637,EQ-1026,2024-02-12,Hydraulic Repair,3433.81
MNT-300638,EQ-1070,2023-10-08,Routine Service,2190.77
MNT-300639,EQ-1006,2023-02-28,Engine Overhaul,3259.48
MNT-300640,EQ-1026,2023-08-22,Brake Check,1798.78
MNT-300641,EQ-1025,2024-04-20,Routine Service,3007.78
MNT-300642,EQ-1082,2023-01-04,Engine Overhaul,109.38
MNT-300643,EQ-1105,2024-01-01,Routine Service,867.35
MNT-300644,EQ-1088,2023-12-07,Tire Replacement,3095.92
MNT-300645,EQ-1122,2023-08-15,Routine Service,3423.11
MNT-300646,EQ-1015,2024-04-02,Filter Change,705.1
MNT-300647,EQ-1144,2023-06-25,Oil Change,1646.41
MNT-300648,EQ-1121,2023-03-13,Brake Check,1806.38
MNT-300649,EQ-1049,2023-09-11,Tire Replacement,2874.92
MNT-300650,EQ-1027,2023-07-20,Tire Replacement,2011.13
MNT-300651,EQ-1127,2023-12-09,Routine Service,3249.66
MNT-300652,EQ-1011,2024-04-12,Hydraulic Repair,1798.78
MNT-300653,EQ-1061,2023-07-23,Brake Check,3458.04
MNT-300654,EQ-1121,2023-07-23,Brake Check,1324.2
MNT-300655,EQ-1035,2024-02-21,Engine Overhaul,1796.4
MNT-300656,EQ-1088,2023-06-08,Oil Change,1739.43
MNT-300657,EQ-1014,2023-03-02,Hydraulic Repair,137.28
MNT-300658,EQ-1075,2023-10-01,Brake Check,1245.46
MNT-300659,EQ-1133,2023-04-07,Brake Check,1003.34
MNT-300660,EQ-1028,2024-04-26,Hydraulic Repair,3354.57
MNT-300661,EQ-1146,2023-11-25,Oil Change,157.85
MNT-300662,EQ-1057,2023-04-02,Routine Service,2257.2
MNT-300663,EQ-1144,2023-02-27,Filter Change,999.08
MNT-300664,EQ-1084,2023-09-16,Oil Change,1392.0
MNT-300665,EQ-1076,2023-06-19,Tire Replacement,1740.1
MNT-300666,EQ-1055,2023-08-23,Routine Service,1582.73
MNT-300667,EQ-1051,2023-11-08,Engine Overhaul,1881.03
MNT-300668,EQ-1081,2024-04-22,Routine Service,1798.78
MNT-300669,EQ-1101,2023-09-10,General Maintenance,3429.54
MNT-300670,EQ-1068,2023-01-16,Engine Overhaul,3308.92
MNT-300671,EQ-1055,2023-11-20,Routine Service,721.19
MNT-300672,EQ-1055,2023-04-29,Engine Overhaul,2143.64
MNT-300673,EQ-1045,2024-03-09,Routine Service,2524.83
MNT-300674,EQ-1102,2023-12-13,Routine Service,1298.65
MNT-300675,EQ-1019,2024-02-14,Hydraulic Repair,518.18
MNT-300676,EQ-1122,2023-06-18,Hydraulic Repair,1612.28
MNT-300677,EQ-1097,2023-12-02,Engine Overhaul,2862.55
MNT-300678,EQ-1134,2024-03-23,Tire Replacement,1921.42
MNT-300679,EQ-1040,2024-02-16,Brake Check,805.67
MNT-300680,EQ-1149,2023-02-07,Hydraulic Repair,1962.7
MNT-300681,EQ-1053,2023-01-06,Engine Overhaul,1798.78
MNT-300682,EQ-1097,2023-06-08,Oil Change,1474.47
MNT-300683,EQ-1148,2024-04-26,Filter Change,605.63
MNT-300684,EQ-1139,2023-08-21,Brake Check,809.96
MNT-300685,EQ-1049,2024-01-22,Tire Replacement,2327.25
MNT-300686,EQ-1004,2024-01-17,Filter Change,2501.58
MNT-300687,EQ-1061,2024-02-21,Engine Overhaul,121.64
MNT-300688,EQ-1053,2023-12-26,Routine Service,1383.47
MNT-300689,EQ-1047,2023-03-14,Tire Replacement,892.17
MNT-300690,EQ-1022,2024-05-12,Routine Service,2903.36
MNT-300691,EQ-1015,2024-03-21,Filter Change,424.26
MNT-300692,EQ-1048,2023-05-08,Engine Overhaul,2434.16
MNT-300693,EQ-1094,2023-09-02,Routine Service,1948.42
MNT-300694,EQ-1104,2023-08-30,Hydraulic Repair,2290.09
MNT-300695,EQ-1061,2024-03-12,Engine Overhaul,1481.97
MNT-300696,EQ-1107,2023-11-11,Filter Change,2284.52
MNT-300697,EQ-1113,2024-01-04,Engine Overhaul,2590.27
MNT-300698,EQ-1144,2024-01-24,Hydraulic Repair,170.05
MNT-300699,EQ-1017,2023-04-15,Oil Change,640.25
MNT-300700,EQ-1053,2024-01-04,Brake Check,1602.64
MNT-300701,EQ-1096,2023-09-06,Oil Change,1798.78
MNT-300702,EQ-1044,2023-03-08,Routine Service,1032.62
MNT-300703,EQ-1056,2023-01-12,Engine Overhaul,2387.25
MNT-300704,EQ-1114,2023-05-24,Tire Replacement,436.52
MNT-300705,EQ-1140,2023-04-20,Engine Overhaul,1688.79
MNT-300706,EQ-1007,2023-08-31,Brake Check,2294.17
MNT-300707,EQ-1004,2023-02-25,Hydraulic Repair,1040.69
MNT-300708,EQ-1035,2023-08-28,Engine Overhaul,1798.78
MNT-300709,EQ-1094,2023-10-03,Tire Replacement,1798.78
MNT-300710,EQ-1092,2024-02-12,Hydraulic Repair,2351.74
MNT-300711,EQ-1129,2023-07-29,Routine Service,1923.74
MNT-300712,EQ-1107,2023-09-04,Oil Change,1916.36
MNT-300713,EQ-1068,2023-02-02,Engine Overhaul,2101.2
MNT-300714,EQ-1046,2023-11-27,Routine Service,3461.88
MNT-300715,EQ-1146,2023-11-21,General Maintenance,1461.73
MNT-300716,EQ-1027,2023-07-05,Oil Change,3387.72
MNT-300717,EQ-1040,2023-05-05,Engine Overhaul,1563.43
MNT-300718,EQ-1107,2023-05-25,Tire Replacement,2334.92
MNT-300719,EQ-1110,2024-04-10,Brake Check,1798.78
MNT-300720,EQ-1091,2023-01-10,Tire Replacement,259.69
MNT-300721,EQ-1026,2023-06-14,Hydraulic Repair,1480.09
MNT-300722,EQ-1009,2023-11-16,Routine Service,1645.45
MNT-300723,EQ-1092,2024-03-24,Oil Change,2362.56
MNT-300724,EQ-1051,2024-02-29,Brake Check,1508.92
MNT-300725,EQ-1059,2024-03-30,Filter Change,2099.66
MNT-300726,EQ-1031,2023-11-08,Brake Check,2452.43
MNT-300727,EQ-1096,2023-05-01,Oil Change,942.42
MNT-300728,EQ-1148,2024-01-31,Engine Overhaul,849.37
MNT-300729,EQ-1009,2023-08-12,Engine Overhaul,1612.56
MNT-300730,EQ-1119,2023-11-27,Hydraulic Repair,1816.96
MNT-300731,EQ-1121,2024-03-21,Routine Service,2278.44
MNT-300732,EQ-1140,2023-08-27,Routine Service,1407.62
MNT-300733,EQ-1149,2023-10-19,Oil Change,286.25
MNT-300734,EQ-1087,2023-07-15,Brake Check,535.4
MNT-300735,EQ-1115,2024-02-20,Routine Service,2311.27
MNT-300736,EQ-1131,2024-04-06,Brake Check,2690.37
MNT-300737,EQ-1016,2023-04-09,Oil Change,1459.31
MNT-300738,EQ-1078,2023-10-13,Filter Change,2692.35
MNT-300739,EQ-1067,2024-02-28,Oil Change,2052.81
MNT-300740,EQ-1059,2024-03-07,Hydraulic Repair,3233.96
MNT-300741,EQ-1002,2024-03-27,Brake Check,2444.88
MNT-300742,EQ-1003,2023-01-31,Oil Change,1894.82
MNT-300743,EQ-1043,2023-10-13,Hydraulic Repair,1798.78
MNT-300744,EQ-1063,2023-05-01,Routine Service,3413.14
MNT-300745,EQ-1029,2024-05-05,Oil Change,1798.78
MNT-300746,EQ-1144,2023-03-10,Routine Service,2049.98
MNT-300747,EQ-1035,2023-03-18,Filter Change,3272.33
MNT-300748,EQ-1117,2023-01-01,Tire Replacement,3063.77
MNT-300749,EQ-1044,2024-04-21,Engine Overhaul,765.68
MNT-300750,EQ-1056,2023-12-07,Filter Change,1798.78
MNT-300751,EQ-1043,2023-10-05,Engine Overhaul,1009.96
MNT-300752,EQ-1010,2023-07-19,Engine Overhaul,1742.94
MNT-300753,EQ-1077,2024-01-16,Routine Service,1798.78
MNT-300754,EQ-1131,2023-09-15,Oil Change,1576.73
MNT-300755,EQ-1006,2023-11-22,Engine Overhaul,3039.06
MNT-300756,EQ-1044,2023-08-26,Brake Check,173.88
MNT-300757,EQ-1068,2024-04-04,Brake Check,733.93
MNT-300758,EQ-1043,2024-02-01,Hydraulic Repair,3488.87
MNT-300759,EQ-1033,2023-08-23,Filter Change,1769.63
MNT-300760,EQ-1084,2023-04-20,Engine Overhaul,1765.15
MNT-300761,EQ-1080,2023-04-26,Routine Service,733.83
MNT-300762,EQ-1138,2023-05-17,Routine Service,3014.26
MNT-300763,EQ-1137,2023-06-26,Engine Overhaul,132.06
MNT-300764,EQ-1084,2024-05-04,Engine Overhaul,3459.07
MNT-300765,EQ-1132,2023-05-03,Tire Replacement,701.38
MNT-300766,EQ-1115,2023-11-08,Unknown,2958.67
MNT-300767,EQ-1077,2023-06-22,Oil Change,2622.99
MNT-300768,EQ-1069,2023-03-02,Engine Overhaul,1395.9
MNT-300769,EQ-1018,2023-08-02,Oil Change,209.21
MNT-300770,EQ-1141,2023-02-04,Hydraulic Repair,2642.4
MNT-300771,EQ-1067,2023-11-11,Engine Overhaul,956.1
MNT-300772,EQ-1037,2023-05-24,Routine Service,1506.13
MNT-300773,EQ-1125,2023-04-14,Filter Change,3318.63
MNT-300774,EQ-1115,2024-01-29,Routine Service,2249.95
MNT-300775,EQ-1140,2024-01-30,Hydraulic Repair,2789.6
MNT-300776,EQ-1086,2023-05-29,Routine Service,3162.93
MNT-300777,EQ-1035,2023-01-05,Brake Check,2717.97
MNT-300778,EQ-1143,2023-10-13,Tire Replacement,634.3
MNT-300779,EQ-1000,2024-03-08,Routine Service,1741.95
MNT-300780,EQ-1005,2024-01-30,Engine Overhaul,723.63
MNT-300781,EQ-1015,2023-01-28,Routine Service,140.29
MNT-300782,EQ-1022,2023-02-26,Routine Service,3330.82
MNT-300783,EQ-1143,2024-03-29,Filter Change,112.48
MNT-300784,EQ-1139,2024-03-07,Hydraulic Repair,1236.45
MNT-300785,EQ-1074,2023-02-23,Tire Replacement,1546.55
MNT-300786,EQ-1073,2024-05-14,Routine Service,3177.63
MNT-300787,EQ-1045,2024-01-12,Engine Overhaul,3236.2
MNT-300788,EQ-1093,2023-07-08,Tire Replacement,2039.64
MNT-300789,EQ-1148,2023-02-15,Oil Change,3311.51
MNT-300790,EQ-1013,2023-07-04,Engine Overhaul,2509.53
MNT-300791,EQ-1058,2023-08-29,Oil Change,3211.28
MNT-300792,EQ-1084,2023-06-09,Tire Replacement,717.34
MNT-300793,EQ-1038,2023-05-30,Hydraulic Repair,1161.02
MNT-300794,EQ-1046,2023-11-03,Oil Change,3148.28
MNT-300795,EQ-1005,2023-01-08,Oil Change,3451.0
MNT-300796,EQ-1010,2024-05-08,Brake Check,1600.82
MNT-300797,EQ-1006,2024-01-13,Brake Check,1798.78
MNT-300798,EQ-1062,2023-01-06,Routine Service,3178.89
MNT-300799,EQ-1055,2024-04-18,Tire Replacement,145.33
MNT-300800,EQ-1068,2024-03-06,Engine Overhaul,1799.53
MNT-300801,EQ-1019,2023-07-02,Tire Replacement,3414.73
MNT-300802,EQ-1031,2024-01-20,Filter Change,701.43
MNT-300803,EQ-1138,2023-11-24,Oil Change,1049.79
MNT-300804,EQ-1061,2023-10-18,Tire Replacement,1798.78
MNT-300805,EQ-1118,2023-10-24,Brake Check,2035.57
MNT-300806,EQ-1088,2023-12-04,Filter Change,1977.43
MNT-300807,EQ-1123,2023-07-18,Brake Check,1874.19
MNT-300808,EQ-1026,2023-08-05,Tire Replacement,491.33
MNT-300809,EQ-1050,2024-03-13,Oil Change,1092.68
MNT-300810,EQ-1030,2023-10-22,Brake Check,2488.2
MNT-300811,EQ-1146,2023-06-13,Engine Overhaul,3082.15
MNT-300812,EQ-1068,2024-01-07,Routine Service,1187.45
MNT-300813,EQ-1098,2023-05-02,Routine Service,1608.16
MNT-300814,EQ-1002,2024-03-16,Filter Change,2903.95
MNT-300815,EQ-1035,2023-08-08,Hydraulic Repair,245.97
MNT-300816,EQ-1076,2023-06-02,Hydraulic Repair,2274.53
MNT-300817,EQ-1126,2023-11-04,Tire Replacement,2013.66
MNT-300818,EQ-1040,2023-09-24,Oil Change,773.21
MNT-300819,EQ-1141,2024-01-16,Tire Replacement,2887.93
MNT-300820,EQ-1039,2023-06-13,Tire Replacement,1143.26
MNT-300821,EQ-1101,2023-12-21,Engine Overhaul,2561.24
MNT-300822,EQ-1142,2023-01-16,Brake Check,1213.01
MNT-300823,EQ-1085,2024-02-16,Brake Check,821.13
MNT-300824,EQ-1033,2023-02-04,Tire Replacement,1744.45
MNT-300825,EQ-1086,2023-02-08,Engine Overhaul,3318.7
MNT-300826,EQ-1047,2024-04-21,Hydraulic Repair,3174.17
MNT-300827,EQ-1114,2024-02-01,Engine Overhaul,1335.51
MNT-300828,EQ-1046,2023-08-07,Oil Change,3228.72
MNT-300829,EQ-1108,2024-01-13,Filter Change,2433.07
MNT-300830,EQ-1067,2024-05-12,Brake Check,1540.67
MNT-300831,EQ-1137,2023-02-28,Hydraulic Repair,1245.19
MNT-300832,EQ-1040,2023-07-01,Filter Change,3266.94
MNT-300833,EQ-1030,2023-11-27,Filter Change,2770.36
MNT-300834,EQ-1084,2023-01-22,Oil Change,414.1
MNT-300835,EQ-1137,2024-04-15,Oil Change,1798.78
MNT-300836,EQ-1029,2023-06-27,Routine Service,1185.47
MNT-300837,EQ-1137,2023-08-27,Routine Service,1669.43
MNT-300838,EQ-1052,2024-01-21,Filter Change,2273.33
MNT-300839,EQ-1116,2023-02-09,Oil Change,1410.43
MNT-300840,EQ-1110,2024-04-14,Hydraulic Repair,1989.02
MNT-300841,EQ-1120,2023-11-14,Routine Service,2085.87
MNT-300842,EQ-1086,2023-08-08,Brake Check,2045.13
MNT-300843,EQ-1086,2024-05-02,Brake Check,2858.17
MNT-300844,EQ-1084,2023-04-01,Oil Change,2452.97
MNT-300845,EQ-1015,2023-11-08,General Maintenance,454.33
MNT-300846,EQ-1050,2024-04-01,Hydraulic Repair,2730.58
