Lease_ID,Equipment_ID,Lessee_Farm_ID,Lease_Date
LSE-400531,EQ-1096,FARM-249,2023-10-05
LSE-400532,EQ-1096,FARM-212,2023-06-16
LSE-400533,EQ-1018,FARM-214,2023-12-06
LSE-400534,EQ-1132,FARM-218,2023-09-21
LSE-400535,EQ-1097,FARM-232,2024-03-05
LSE-400536,EQ-1007,FARM-238,2024-03-16
LSE-400538,EQ-1115,FARM-241,2023-07-23
LSE-400539,EQ-1123,FARM-214,2023-02-14
LSE-400540,EQ-1038,FARM-236,2023-06-14
LSE-400541,EQ-1103,FARM-240,2023-02-05
LSE-400543,EQ-1109,FARM-228,2023-08-28
LSE-400544,EQ-1010,FARM-241,2023-10-05
LSE-400545,EQ-1056,FARM-232,2023-08-22
LSE-400546,EQ-1115,FARM-250,2023-12-17
LSE-400547,EQ-1052,FARM-205,2023-12-27
LSE-400548,EQ-1048,FARM-226,2023-06-16
LSE-400549,EQ-1086,FARM-233,2023-07-27
LSE-400550,EQ-1120,FARM-245,2023-04-27
LSE-400551,EQ-1075,FARM-220,2023-04-28
LSE-400552,EQ-1039,FARM-213,2023-05-09
LSE-400553,EQ-1037,FARM-238,2023-04-21
LSE-400554,EQ-1027,FARM-206,2023-10-21
LSE-400555,EQ-1128,FARM-246,2023-08-03
LSE-400556,EQ-1060,FARM-232,2023-07-06
LSE-400557,EQ-1138,FARM-229,2024-01-19
LSE-400558,EQ-1119,FARM-243,2023-03-27
LSE-400559,EQ-1131,FARM-250,2023-02-11
LSE-400561,EQ-1019,FARM-248,2023-01-15
LSE-400562,EQ-1134,FARM-201,2023-02-21
LSE-400563,EQ-1144,FARM-209,2024-04-03
LSE-400564,EQ-1103,FARM-248,2023-04-17
LSE-400565,EQ-1114,FARM-215,2024-03-01
LSE-400566,EQ-1147,FARM-241,2023-12-26
LSE-400567,EQ-1078,FARM-203,2024-04-11
LSE-400568,EQ-1040,FARM-250,2023-02-07
LSE-400569,EQ-1010,FARM-227,2023-12-24
LSE-400570,EQ-1066,FARM-203,2024-05-15
LSE-400571,EQ-1083,FARM-225,2023-04-15
LSE-400572,EQ-1060,FARM-201,2023-04-30
LSE-400573,EQ-1145,FARM-209,2024-01-11
LSE-400574,EQ-1048,FARM-250,2023-04-07
LSE-400575,EQ-1079,FARM-210,2023-03-28
LSE-400576,EQ-1024,FARM-236,2023-12-05
LSE-400577,EQ-1057,FARM-209,2023-07-09
LSE-400578,EQ-1086,FARM-201,2023-12-30
LSE-400579,EQ-1075,FARM-227,2023-12-25
LSE-400580,EQ-1092,FARM-224,2023-08-04
LSE-400581,EQ-1054,FARM-213,2023-07-24
LSE-400582,EQ-1062,FARM-208,2023-11-23
LSE-400583,EQ-1076,FARM-230,2023-10-30
LSE-400584,EQ-1062,FARM-210,2023-09-01
LSE-400585,EQ-1149,FARM-240,2023-11-03
LSE-400586,EQ-1061,FARM-212,2023-01-31
LSE-400587,EQ-1023,FARM-210,2023-03-03
LSE-400588,EQ-1002,FARM-218,2024-01-26
LSE-400589,EQ-1089,FARM-202,2024-04-29
LSE-400590,EQ-1048,FARM-250,2023-08-25
LSE-400591,EQ-1027,FARM-242,2024-02-17
LSE-400592,EQ-1112,FARM-236,2023-03-25
LSE-400593,EQ-1025,FARM-231,2023-12-18
LSE-400594,EQ-1073,FARM-210,2023-01-28
LSE-400595,EQ-1124,FARM-217,2023-04-26
LSE-400596,EQ-1018,FARM-243,2023-08-24
LSE-400597,EQ-1130,FARM-220,2024-04-30
LSE-400598,EQ-1011,FARM-245,2023-10-14
LSE-400599,EQ-1128,FARM-235,2023-09-05
LSE-400600,EQ-1146,FARM-226,2024-03-25
